Tablet accounting and more 
               MSMLY #n1M active numQR #sold #acc #del n1M%acc  s%d avail unused #KCSE
ABCBurkina         0    0      1  <NA>     0   25    5     0.0  0.0     5     24     0
BilalLib           0    0      4  <NA>     0   50   15     0.0  0.0    15     46     0
BillianSoM        64   16    100     9     9  125   15    12.8 60.0     6     25     0
Chelezo            9    4     28     4     4   30   10    13.3 40.0     6      2     0
Harvest           74   46    116    44    44  200   60    23.0 73.3    16     84    47
KCRCLib           50   18     46     5     5   50   30    36.0 16.7    25      4    14
KakumaLib         55   35     74    15    15  100   35    35.0 42.9    20     26    15
Kibirichia         0    0      6  <NA>     0   25    0     0.0  NaN     0     19     0
KongoniLib       102   68    129    70    70  149   85    45.6 82.4    15     20    60
MadoyaSoH         37   12     64    15    15   99   25    12.1 60.0    10     35     0
MajengoSoH        42   11     56     9     8   99   20    11.1 40.0    12     43     1
MashimoniSoH     315   84    292    77    79  337  100    24.9 79.0    21     45    43
MathareMCE        46   24     99    15    15  111   30    21.6 50.0    15     12     0
NLAFnakuru         2    0     43  <NA>     0   50   15     0.0  0.0    15      7     0
RukiiraLib        29   14     50     7     7   99   20    14.1 35.0    13     49     4
SOSBDar            7    5     32     1     5   50   30    10.0 16.7    25     18     1
ShivangaLib        1    0     21  <NA>     0   50   10     0.0  0.0    10     29     0
SilverSpSoH       16    5     25     1     1   25   10    20.0 10.0     9      0     2
StJohnsShinoyi     0    0     27  <NA>     0  100   10     0.0  0.0    10     73     0
TakkOyugis        14   10     14     1     4   25   15    40.0 26.7    11     11    10
TaniaCentre      127   49    149     7     9  188   15    26.1 60.0     6     39    35
YusraSecondary     0    0      8  <NA>     0   50    5     0.0  0.0     5     42     0
knlsBuruburu       3    1     20  <NA>     0   25    5     4.0  0.0     5      5     1
knlsGarissa        0    0     15  <NA>     0   25    5     0.0  0.0     5     10     0
knlsKibera       111   49    139    56    58  198   75    24.7 77.3    17     59     6
knlsMeru         239   83    118   104   109  149  120    55.7 90.8    11     31    62
knlsMoyale       409  195    442   293   293  694  315    28.1 93.0    22    252   144
Total           1752  729   2118   733   750 3128 1080    23.3 69.4   330   1010   445
